Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANL-2403,285130,,Готово,22.03.2024 16:02 ,29.03.2024 09:50 ,balitskayaav,,Выгрузка данных по контролю реквизитов,kartaevry
ANL-2398,284898,,Готово,21.03.2024 18:50 ,28.03.2024 22:59 ,balitskayaav,5.0,"Подготовить отчет по неипотечным сделкам в разрезе целевых действий, по которым мы определяем, что это сделка ВТБ и какой в ней менеджер ВТБ",beseliarg
ANL-2125,248398,,Закрыт,26.09.2023 09:53 ,28.03.2024 15:16 ,flerinvs,,Выгрузка чатов без сообщений,konorevate
ANL-2206,269583,,Готово,29.12.2023 16:49 ,28.03.2024 10:37 ,flerinvs,5.0,Ипотечные сделки доработка отчета,flerinvs
ANL-2381,282826,,Готово,12.03.2024 18:49 ,28.03.2024 10:23 ,flerinvs,,Добавить новое поле с промокодом в дашборд Сделка онлайн,tatiankoaa
ANL-2395,283990,,Готово,18.03.2024 17:33 ,28.03.2024 09:34 ,flerinvs,5.0,Подготовка данных для demo ,flerinvs
ANL-1935,246486,,Backlog,17.09.2023 20:52 ,27.03.2024 11:59 ,flerinvs,,Сформировать запрос на разбор ,flerinvs
ANL-2171,266900,,Backlog,14.12.2023 15:18 ,27.03.2024 11:59 ,mikhaelyanta,,Перевод отчетов ЭР на единый источник,mikhaelyanta
ANL-1880,240256,,Ревью,21.08.2023 16:20 ,27.03.2024 11:59 ,mikhaelyanta,,"Создание отчета ""АНЧ платящие""",mikhaelyanta
ANL-2257,272892,,Закрыт,24.01.2024 13:37 ,26.03.2024 14:55 ,flerinvs,,Проверить расчет времени ответа менеджера в дэшборде по чатам,zhuravlevaev
ANL-1921,245088,,Сделaть,11.09.2023 13:27 ,25.03.2024 16:14 ,mikhaelyanta,,Выгрузить данные по ролям участников,solovyovaeg
ANL-1909,244118,,Backlog,06.09.2023 12:01 ,25.03.2024 16:13 ,flerinvs,,Фильтр по компании в отчете по ЭР,kluninany
ANL-2314,276705,,Готово,11.02.2024 17:43 ,25.03.2024 16:12 ,flerinvs,,Опрос по bi,flerinvs
ANL-2311,276499,,Закрыт,09.02.2024 11:36 ,25.03.2024 16:10 ,flerinvs,,Проверить занижения СБР,flerinvs
ANL-1936,246517,,Закрыт,18.09.2023 09:48 ,25.03.2024 16:09 ,flerinvs,,автоматизация отчета,flerinvs
ANL-2263,273165,,Готово,25.01.2024 11:58 ,25.03.2024 11:49 ,balitskayaav,5.0,Подсчет сделок для отчета по доле рынка М2,pichuginaaz
ANL-2232,270839,,Закрыт,14.01.2024 23:20 ,25.03.2024 10:25 ,flerinvs,,Сформировать светлую тему CSS+положить в гит,flerinvs
ANL-2304,275589,,Закрыт,06.02.2024 10:37 ,25.03.2024 10:25 ,flerinvs,,Сформировать стартовую страницу в СС,flerinvs
ANL-2219,269881,,Готово,09.01.2024 15:31 ,25.03.2024 10:25 ,flerinvs,,Автоматизация УКЭП для мидла,flerinvs
ANL-2119,263975,,Закрыт,01.12.2023 12:23 ,25.03.2024 10:24 ,flerinvs,2.0,Дэшборд по ипотеке на клике_часть 1,flerinvs
ANL-2197,268075,,Готово,20.12.2023 14:27 ,25.03.2024 10:23 ,flerinvs,,Актуализировать список отчетности,flerinvs
ANL-2369,281493,,Готово,05.03.2024 23:33 ,25.03.2024 09:51 ,flerinvs,1.0,Распределить по ролям пользователей СС,flerinvs
ANL-1920,244867,,Готово,08.09.2023 19:50 ,21.03.2024 10:09 ,flerinvs,5.0,Формирование реестра отчетов(рассылок),flerinvs
ANL-2368,281452,,Готово,05.03.2024 17:37 ,20.03.2024 13:56 ,balitskayaav,1.0,Обновить поле суммы комиссии СБР и добавить его в простынь СБР,beseliarg
